CONTENTS,END_PRD_DE,FULL_PATH_ID,ITEM03,LINK_URL,MT_ATITLE,ORG_ID,ORG_NM,QUERY,REC_TBL_SE,STAT_DB_CNT,STAT_ID,STAT_NM,STRT_PRD_DE,TBL_ID,TBL_NM,TBL_VIEW_URL,VW_CD,_keyword
지방재정자립지표별 지방재정자립지표 재정자주도 재정자립도 기준재정 수요충족도(재정력지수),2024,V > V_1 > V_1_209 > V_1_215 > 215_215A_750_75001 > 215_215A_750_75001_N,자료 : 기획예산실,http://kosis.kr/statHtml/statHtml.do?orgId=750&tblId=DT_750001_N000004,지역통계 > 지자체 기본통계 > 전남광주통합특별시 > 전라남도 > 전라남도완도군기본통계 > 재정,750,전남광주통합특별시 완도군,지방지표,N,496,MT_OTITLE12,시군구기본통계,2015,DT_750001_N000004,지방재정자립지표,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=V.1;V_1.2;V_1_209.3;V_1_215.4;215_215A_750_75001.5;215_215A_750_75001_N.6;,MT_ZTITLE,지방지표
지표현황별 지방재정자립지표 재정자주도 기준재정 수요충족도(재정력지수) 재정자립도,2024,V > V_1 > V_1_209 > V_1_205 > 205A_585_58501 > 205A_585_58501_N,"자료 : 기획조정실, 광주광역시 예산담당관실 주 : 1. 본예산 기준 2. 2014년 세입과목 구조 개편후 자료",http://kosis.kr/statHtml/statHtml.do?orgId=585&tblId=DT_58501_N001020,지역통계 > 지자체 기본통계 > 전남광주통합특별시 > 광주광역시 > 광주광역시광산구기본통계 > 재정,585,전남광주통합특별시 광산구,지방지표,N,496,MT_OTITLE12,시군구기본통계,2011,DT_58501_N001020,지방재정자립지표,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=V.1;V_1.2;V_1_209.3;V_1_205.4;205A_585_58501.5;205A_585_58501_N.6;,MT_ZTITLE,지방지표
지표별 지방재정자립지표 기준재정 수요충족도(재정력지수) 재정자립도 재정자주도,2024,V > V_1 > V_1_210 > 210_210A_637_63701 > 210_210A_637_63701_N,자료 : 기획예산과 주 : 기준일 : 해당년도.1.1.,http://kosis.kr/statHtml/statHtml.do?orgId=637&tblId=DT_63701_N000007,지역통계 > 지자체 기본통계 > 경기도 > 경기도광주시기본통계 > 재정,637,경기도 광주시,지방지표,N,496,MT_OTITLE12,시군구기본통계,2013,DT_63701_N000007,지방재정자립지표,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=V.1;V_1.2;V_1_210.3;210_210A_637_63701.4;210_210A_637_63701_N.5;,MT_ZTITLE,지방지표
지방재정자립지표별 지방재정자립지표 재정자주도 기준재정 수요충족도(재정력지수) 재정자립도,2024,V > V_1 > V_1_210 > 210_210A_630_63001 > 210_210A_630_63001_N,"자료 : 「경기통계연보」경기도 예산담당관 주 : 1) 해당년도.1.1. 2) ( )은 2014년 세입과목 개편 전 기준(잉여금, 이월액, 예탁금, 예수금 등 포함)",http://kosis.kr/statHtml/statHtml.do?orgId=630&tblId=DT_63001_N000007,지역통계 > 지자체 기본통계 > 경기도 > 경기도파주시기본통계 > 재정,630,경기도 파주시,지방지표,N,496,MT_OTITLE12,시군구기본통계,2012,DT_63001_N000007,지방재정자립지표,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=V.1;V_1.2;V_1_210.3;210_210A_630_63001.4;210_210A_630_63001_N.5;,MT_ZTITLE,지방지표
지표별 지방재정자립지표 재정자립도 재정자주도 기준재정 수요충족도(재정력지수),2024,V > V_1 > V_1_210 > 210_210A_631_63101 > 210_210A_631_63101_N,"주 : 기준일 : 해당연도 1.1. 자료 : 경기도 예산담당관, 기획예산담당관",http://kosis.kr/statHtml/statHtml.do?orgId=631&tblId=DT_631001_N000001,지역통계 > 지자체 기본통계 > 경기도 > 경기도이천시기본통계 > 재정,631,경기도 이천시,지방지표,N,496,MT_OTITLE12,시군구기본통계,2014,DT_631001_N000001,지방재정자립지표,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=V.1;V_1.2;V_1_210.3;210_210A_631_63101.4;210_210A_631_63101_N.5;,MT_ZTITLE,지방지표
자립지표별 지방재정자립지표 재정자립도 재정자주도 기준재정 수요충족도(재정력지수),2024,V > V_1 > V_1_210 > 210_210A_623_62301 > 210_210A_623_62301_N,"1) ( )은 2014년 세입과목 개편 전 기준 산출값(잉여금, 이월액, 예탁금, 예수금 등 포함) 2) 결산기준 자료 : 경기도 예산담당관 주 :",http://kosis.kr/statHtml/statHtml.do?orgId=623&tblId=DT_62301_N000007,지역통계 > 지자체 기본통계 > 경기도 > 경기도남양주시기본통계 > 재정,623,경기도 남양주시,지방지표,N,496,MT_OTITLE12,시군구기본통계,2018,DT_62301_N000007,지방재정자립지표,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=V.1;V_1.2;V_1_210.3;210_210A_623_62301.4;210_210A_623_62301_N.5;,MT_ZTITLE,지방지표
구분별 지방재정자립지표 재정자주도 재정자립도 기준재정 수요충족도(재정력지수),2024,V > V_1 > V_1_212 > 212_212A_671_67101 > 212_212A_671_67101_N,자료:예산과,http://kosis.kr/statHtml/statHtml.do?orgId=671&tblId=DT_67101_N000007,지역통계 > 지자체 기본통계 > 충청북도 > 충청북도청주시기본통계 > 재정,671,충청북도 청주시,지방지표,N,496,MT_OTITLE12,시군구기본통계,2013,DT_67101_N000007,지방재정자립지표,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=V.1;V_1.2;V_1_212.3;212_212A_671_67101.4;212_212A_671_67101_N.5;,MT_ZTITLE,지방지표
지표별 지방재정자립지표 재정자립도 기준재정 수요충족도(재정력지수) 재정자주도,2024,V > V_1 > V_1_206 > 206_206A_593_59301 > 206_206A_593_59301_N,자료 : 기획예산과,http://kosis.kr/statHtml/statHtml.do?orgId=593&tblId=DT_59301_N001022,지역통계 > 지자체 기본통계 > 대전광역시 > 대전광역시서구기본통계 > 재정,593,대전광역시 서구,지방지표,N,496,MT_OTITLE12,시군구기본통계,2012,DT_59301_N001022,지방재정자립지표,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=V.1;V_1.2;V_1_206.3;206_206A_593_59301.4;206_206A_593_59301_N.5;,MT_ZTITLE,지방지표
재정자립지표별 지방재정자립지표 재정자주도 재정자립도 기준재정 수요충족도(재정력지수),2024,V > V_1 > V_1_210 > 210_210A_641_64101 > 210_210A_641_64101_N,"주 : ( )은 2014년 세입과목 개편 후 기준(잉여금, 이월액, 예탁금, 예수금 등 미포함) 자료 : 기획예산담당관, 경기통계연보",http://kosis.kr/statHtml/statHtml.do?orgId=641&tblId=DT_64101_N000007,지역통계 > 지자체 기본통계 > 경기도 > 경기도양평군기본통계 > 재정,641,경기도 양평군,지방지표,N,496,MT_OTITLE12,시군구기본통계,2012,DT_64101_N000007,지방재정자립지표,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=V.1;V_1.2;V_1_210.3;210_210A_641_64101.4;210_210A_641_64101_N.5;,MT_ZTITLE,지방지표
지표별 지방재정자립지표 재정자립도 기준재정 수요충족도(재정력지수) 재정자주도,2024,V > V_1 > V_1_213 > 213_213A_706_70601 > 213_213A_706_70601_N,자료 : 기획예산담당관 ※ 본 통계표 자료는 `개편후` 자료,http://kosis.kr/statHtml/statHtml.do?orgId=706&tblId=DT_706001_N0001,지역통계 > 지자체 기본통계 > 충청남도 > 충청남도서천군기본통계 > 재정,706,충청남도 서천군,지방지표,N,496,MT_OTITLE12,시군구기본통계,2020,DT_706001_N0001,지방재정자립지표,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=V.1;V_1.2;V_1_213.3;213_213A_706_70601.4;213_213A_706_70601_N.5;,MT_ZTITLE,지방지표
